vertices,edge_probability,h0_dimension,h0_time,h1_dimension,h1_time,total_time
112,0.172355682465626,1,7.560827970504761,0,23.90249991416931,31.463327884674072
167,0.06527879832694006,1,0.408956050872803,3,2.933825969696045,3.342782020568848
117,0.01762801849665912,1,0.244641065597534,22,0.277924060821533,0.522565126419067
104,0.11493426273007484,1,0.345262050628662,0,5.458037137985229,5.803299188613891
248,0.18386756768516688,1,2.472630023956299,0,3504.358717918396,3506.8313479423523
120,0.11162387570713697,1,0.238195896148682,1,221.70386600494385,221.94206190109256
150,0.1122009731044374,1,0.332947015762329,0,598.0792050361633,598.4121520519257
269,0.1495568379301205,1,1.894319772720337,0,4656.376709938049,4658.271029710769
281,0.11324617612980124,1,1.262696981430054,0,3668.8419318199158,3670.104628801346
163,0.104724078328697,1,6.833325862884521,0,54.77045011520386,61.60377597808838
112,0.19153838315494265,1,0.703376054763794,0,24.533567905426025,25.23694396018982
146,0.13868622096296346,1,1.343723058700562,0,86.42788982391357,87.77161288261412
273,0.06513737293310466,1,0.449970960617065,0,246.25842213630676,246.70839309692383
139,0.023423826574477412,1,0.15334415435791,72,2.179476022720337,2.332820177078247
250,0.10177270883127358,1,11.484071016311646,0,1403.063766002655,1414.5478370189667
252,0.17646693979094735,1,2.323076009750366,0,3482.2029840946198,3484.52606010437
148,0.01642426977468714,1,0.58588695526123,41,1.613640785217285,2.199527740478515
186,0.17438654976330956,1,14.785189151763916,0,587.1044399738312,601.8896291255951
269,0.10614353052121053,1,1.00703501701355,0,2278.719213962555,2279.7262489795685
181,0.0797170967706373,1,2.196128845214844,0,43.6677348613739,45.863863706588745
100,0.18195341665199177,1,0.238193035125732,0,18.435724020004272,18.673917055130005
132,0.1925072690542063,1,0.406938076019287,0,141.79680395126343,142.20374202728271
276,0.15378670312690257,1,2.231428861618042,0,7494.813677072525,7497.045105934143
120,0.12045146264707933,1,0.230222940444946,0,30.9253671169281,31.155590057373047
101,0.023750124400353227,1,0.135503053665161,25,0.428316831588745,0.563819885253906
147,0.11128558992749973,1,2.525347948074341,0,41.96844220161437,44.493790149688714
155,0.1363221074060452,1,0.382380962371826,0,222.4704248905182,222.85280585289001
279,0.1550167596242925,1,4.634886026382446,0,7810.442865848541,7815.077751874924
201,0.13413841240224636,1,0.992884159088135,0,546.7415080070496,547.7343921661377
159,0.12713600102162873,1,0.449106931686401,0,115.36005711555481,115.80916404724121
208,0.08017158053085718,1,0.302198886871338,0,119.95437693595886,120.25657582283021
154,0.1620615770264933,1,4.009300947189331,0,167.1775879859924,171.18688893318173
110,0.06181171128236331,1,0.16457986831665,63,0.322153091430664,0.486732959747314
187,0.029098807685165456,1,0.175528049468994,187,0.563384056091309,0.738912105560303
135,0.07384528718631199,1,0.174166202545166,8,1.496441841125488,1.670608043670654
159,0.13096763974334805,1,0.345920085906982,0,147.10685801506042,147.45277810096738
255,0.1730274147406641,1,15.192225933074951,0,3737.581491947174,3752.773717880249
186,0.11331158277948887,1,0.463058948516846,0,237.2703559398651,237.73341488838196
267,0.033815862631708916,1,1.760051965713501,248,1.712110042572022,3.472162008285523
182,0.05985263327571603,1,0.555135011672974,5,4.711452007293701,5.266587018966675
141,0.15608528757630996,1,0.46547794342041,0,88.7950918674469,89.26056981086731
238,0.18858158187555318,1,2.601578950881958,0,2714.3506309986115,2716.9522099494934
215,0.011819528094395236,1,0.175304889678955,70,0.158138990402222,0.333443880081177
111,0.12766896134444894,1,0.289118051528931,0,5.596091985702515,5.885210037231445
149,0.043819189228301005,1,2.428771018981934,124,7.101768016815186,9.53053903579712
